Week,L5 IN Chandigarh,L5 IN Chandigarh Kalka-Panchkula,L5 IN Delhi 1,L5 IN Delhi 2,L5 IN Delhi 3,L5 IN Delhi 4,L5 IN Haryana,L5 IN Himachal Pradesh,L5 IN Jammu and Kashmir,L5 IN NCR 1 Gurgaon/Faridabad,L5 IN NCR 2 Noida/Ghaziabad,L5 IN Punjab 1,L5 IN Punjab 2,L5 IN Rajasthan,L5 IN Rajasthan 2,L5 IN Rajasthan 3,L5 IN Uttar Pradesh 1,L5 IN Uttar Pradesh 2,L5 IN Uttar Pradesh 3,L5 IN Uttar Pradesh 4,L5 IN Uttar Pradesh 5,L5 IN Uttar Pradesh 6,L5 IN Uttar Pradesh 7,L5 IN Uttranchal
Week 1,102634,57625,91340,184905,367086,,285113,54942,616099,58500,14995,451321,139168,105891,67853,40397,109615,65086,30191,90168,31825,103447,15283,147711
Week 2,352337,51899,236613,243515,488710,,260726,197184,906852,76764,32787,485158,138052,118538,426522,-95,183743,95490,25045,35911,34164,41903,240254,189095
Week 3,64232,140914,319275,356529,493530,11171,120235,112174,817356,89110,2316,157415,162544,143214,276380,,207966,142765,121644,167532,77527,58556,122630,156774
Week 4,585236,69167,537906,772584,542965,49349,195427,344945,528952,163754,87504,649768,506379,251473,206992,22192,49410,242961,110884,145079,17593,102412,280739,654938
Week 5,494297,385269,521307,1070859,1322921,9,826346,1036174,1274998,127865,35739,1387775,1095266,109310,844373,21033,511200,287937,61108,266242,80580,69724,463827,174872
Week 6,67424,7380,56033,130385,170793,,45534,20957,64372,19779,30979,156693,79744,69029,118432,,3193,17552,42864,79787,2884,24179,22143,92839
Week 7,72054,62165,130866,322975,91187,,67890,621089,244614,4464,5358,161933,176502,105507,138212,12514,114077,359397,3973,127314,20547,28639,197926,378374
Week 8,128607,32285,266408,549734,849795,13402,269141,216531,372472,233534,11059,520539,220131,184788,214941,65802,229956,156245,52212,104213,57544,113410,141828,396612
Week 9,291078,128533,289534,920247,1141587,13662,366821,657183,1332685,59790,73258,1030541,655520,261709,437100,20102,250840,385083,163696,166973,37843,29515,300500,434708
Week 10,22494,14155,159067,504428,311589,4908,42806,247819,33972,31665,4595,244003,36193,162011,104629,5088,32247,56547,76356,86887,14540,44145,70069,121884
Week 11,102047,66618,221831,489817,249208,18032,49473,924176,150558,18689,-1601,327787,175149,87267,168457,29949,53483,55451,20254,167410,77080,21553,117308,47856
Week 12,36521,40969,132321,598144,386233,12557,96015,539970,209555,32959,9025,245304,98350,64851,132108,14852,57140,23849,44366,65834,22897,17982,81225,74954
Week 13,19071,8712,97088,162742,120397,8403,25141,77533,175760,2690,6668,393342,57846,103621,124923,,78782,88961,,94547,40261,15825,173492,54736
Week 14,55392,281193,461127,620013,566591,102481,199446,365461,1130259,116765,31345,639505,440342,83054,154122,49681,247248,219604,9285,109944,6120,139196,106470,156216
Week 15,55672,114293,367756,324935,460537,7085,213202,737744,787520,200252,-2897,958095,628943,222132,122313,66067,101500,58349,16127,108466,181849,72183,119793,355661
Week 16,69555,283426,154470,1001291,466569,43287,92727,802035,1124729,130141,31454,496106,394338,88678,238554,22728,23928,40727,38163,63179,68274,53237,137315,203404
Week 17,298545,96203,164017,708405,178714,42407,185233,671923,1044991,79718,109758,292943,393338,138309,114938,30444,141206,123467,28904,56390,46768,38456,104860,238809
Week 18,335066,111310,228596,1251741,899029,116345,274461,569498,335635,31802,60074,334620,447596,45747,145084,7180,159095,32513,-1005,88208,46777,19172,224270,181030
Week 19,13872,17028,17321,120000,21384,22941,21839,340251,157440,7303,52966,139032,54390,84373,45424,7802,51833,6617,,65,16229,24562,55601,120067
Week 20,26324,6666,119823,86854,355794,,15707,534609,470702,32972,8683,75957,89510,26219,145436,13295,15512,20237,,107276,10191,44381,63386,178900
Week 21,27422,9302,76975,244843,343535,14723,36606,470698,613945,30547,36252,178964,78968,70737,111918,6583,36213,45568,27247,72340,29362,16900,185170,231323
Week 22,58944,42130,102346,97536,182414,1851,82760,666801,819770,31032,30365,254335,109125,95397,321650,35600,79197,60096,37841,46352,44214,8321,45471,271825
Week 23,15335,48444,84075,366727,76501,10721,117232,280130,200396,62013,8721,198822,131670,65204,136116,7830,113667,21366,104197,77129,8679,50060,125502,120035
Week 24,61186,24170,301319,156391,102763,21691,121041,207154,326056,20185,25124,209955,104554,100794,74808,11223,83998,28522,17994,55267,39730,77672,39124,97871
Week 25,3874,72504,162301,154816,461105,48601,143982,615598,576670,30165,45128,112185,89179,43298,74154,7120,36629,36336,36626,32385,10253,33481,121108,163146
Week 26,80948,-543,120831,248680,108572,8746,95809,994657,626053,35468,12718,76054,247303,53624,72534,5843,84505,83785,126633,62797,44083,31968,210262,297712
Week 27,159239,45606,132149,154289,90557,3272,46131,886464,505989,27346,50599,482929,89229,89665,256943,7279,27970,36991,2402,38495,40622,42439,207100,184442
Week 28,23816,39437,125763,134136,59372,35650,128159,254921,478944,52960,9477,128411,31427,38697,53286,8229,121489,23867,82962,9475,8399,22208,172301,76989
Week 29,77552,53260,113700,461324,228209,18879,33488,207883,634398,23205,22780,219142,103783,59612,40408,9501,17578,64977,,98725,69803,519,147141,135947
Week 30,22148,39560,171592,395229,270237,42769,143319,139558,382659,66265,54830,83870,135498,115918,216014,14720,135569,114065,17332,90004,22319,24709,335546,110802
Week 31,82649,35968,108453,103487,436445,2445,83516,253982,495766,36424,71856,239986,205122,170809,210749,14653,56803,255064,4384,94618,,48503,132578,102631
Week 32,69094,188277,391785,1190615,913419,29670,502414,450680,1116494,125807,77446,1167134,726080,347858,250026,33783,155050,206112,170080,136784,25308,54970,196466,244230
Week 33,876109,39217,452870,712518,555778,73293,289733,421640,1114813,94001,111459,681449,478799,127916,172699,73938,123528,112488,106332,128267,24317,52165,143135,461690
Week 34,100250,96291,641891,636567,473806,153652,264348,298174,916654,24732,66654,413167,405280,143940,189298,41844,139963,111302,18939,290403,111154,53011,263068,255016
Week 35,872265,146214,798827,995383,884572,38144,399775,664253,1706694,85367,168668,1013428,746851,89985,694093,24064,164987,367506,81240,191084,119862,103297,267569,384029
Week 36,4704,47,88655,82071,135837,,37168,55279,106098,16912,61850,74888,29263,45131,79673,12607,10683,35780,,23732,8993,14091,49243,65721
Week 37,52573,51593,308804,118511,278547,,83091,414378,179942,57762,31661,67757,92898,109598,171040,17159,110867,191842,12884,59343,43426,37293,176126,205519
Week 38,47649,72818,339973,268527,327686,,63242,214349,232626,66145,91955,235327,138495,131129,125995,22008,98706,58087,1110,92046,29254,26809,97474,117342
Week 39,471179,142677,843008,693189,971899,28296,197612,509724,763698,283195,246464,393569,424878,210324,186324,12084,196920,294120,235598,140605,70063,78013,263746,226336
Week 40,404699,202992,452144,250991,636896,,146260,714422,949593,33533,21167,421629,598716,141009,513248,68793,80535,117592,85703,156908,23367,27706,176898,524731
Week 41,187746,18913,397102,822970,410573,69085,358663,248382,1158299,113903,116959,273718,181169,155496,209869,8148,134711,178372,3521,143489,105730,74281,20787,163811
Week 42,321446,371926,583416,1301144,954216,50853,430964,373628,983770,116691,287967,745626,285031,155090,382584,65953,252728,89910,52435,95157,10681,43343,190838,333046
Week 43,134519,127142,248513,133950,490060,,240341,456884,1242759,5509,31338,341773,313229,99129,211410,19127,160640,93293,39105,35070,109354,20772,33639,79514
Week 44,70197,22433,233873,219887,668399,68616,55934,521575,1633194,71126,138509,269447,529336,102618,210109,27982,210131,193769,65180,241151,42340,26351,235301,393658
Week 45,27808,24241,159497,37327,278138,22204,9926,153150,443266,14956,33133,56743,90700,81202,87591,16492,16523,66601,,94521,5088,25539,86213,92677
Week 46,53080,10501,212830,295206,227915,6848,51067,276279,1516197,86730,28980,45016,78478,103275,178680,555,42827,141316,56942,48671,12204,56346,81407,105006
Week 47,67588,182502,338494,307411,166778,-14606,174786,296934,2036031,73006,60303,197705,189479,47503,225291,31192,99821,115031,57702,79996,18360,68448,271654,129749
Week 48,167972,57354,868686,1084615,1454372,132772,297009,884365,2297060,111140,278701,690202,722696,456075,624876,50473,213229,254503,84390,270350,68448,27109,404506,448820
Week 49,12108,21,230,18272,3854,37730,135,63280,136633,8141,910,21060,10542,4397,31411,4582,6839,14137,,4677,9,15200,38837,29673
Week 50,33095,1785,41036,82262,38951,24127,66623,358970,1797754,24973,31585,42772,32979,20355,56173,1417,2278,12706,,29864,,6005,85816,69542
Week 51,32978,14409,64281,128027,57319,35098,7967,492767,1227594,51063,23500,31312,25052,38119,97790,5438,51568,22680,13136,43950,7737,11653,193751,84692
Week 52,21011,7177,-16271,289496,77208,18840,21105,209280,796708,45060,24325,16937,19322,56514,96232,,60084,111602,77344,69812,13059,114378,170841,149927
Week 53,30541,3163,-3455,35901,14201,,33576,373244,157515,36961,6572,27039,-136583,25804,79115,3231,74575,246705,51396,15013,15369,21861,120004,63620
Week 54,11599,12120,300336,904201,255192,106521,35713,26044,434427,15630,52300,117389,110300,57580,124905,6407,75235,161266,6308,37348,,2632,9036,123559
Week 55,488302,48789,622807,856379,822848,52958,301690,178249,1061640,111676,125955,705046,1081026,92959,188786,34905,109043,48582,104317,103232,36628,82313,295148,208206
Week 56,282685,89681,293787,908117,873515,21829,156608,227205,1239481,145222,58737,453078,630500,108869,354505,19461,110884,142208,11563,232008,38507,11876,176101,171935
Week 57,210843,234776,267812,778000,763772,14166,227157,251839,2047384,94043,177380,736295,623549,106506,269295,19558,182837,109828,245438,150676,52071,50855,214158,413297
Week 58,257455,188711,607445,865483,879417,41005,752617,506991,3428286,66047,73982,852128,629135,94422,220085,37185,115247,210027,120977,133566,41385,48610,314406,371316
Week 59,41096,60322,121659,332350,114701,96043,32510,250253,680833,148847,72778,296846,410531,41120,133625,16822,72477,162314,55882,74692,,38451,160115,138528
Week 60,173693,52987,222034,719342,528376,96718,176394,794112,1045899,150390,144701,994136,689722,77215,269199,53944,205405,31125,136145,63353,67218,43394,110144,186695
Week 61,18054,17116,212951,653265,503528,60349,34580,490924,1418545,14427,114751,1227035,512568,34836,227732,10006,51848,76378,71119,171864,50139,65615,139074,153979
Week 62,1290989,452990,647488,621926,1281750,142389,287988,1264910,3237789,94969,78339,1604639,850660,208661,304991,13001,28763,260150,100541,183375,202530,86633,424270,282538
Week 63,21922,13835,-5865,162557,52063,,63426,57027,83346,25077,1676,15390,72697,16276,71927,11617,2830,44658,6436,2554,,4268,44251,48902
Week 64,69500,51542,146628,303410,38984,148660,108146,136425,421587,58070,83888,115307,142947,37889,109204,14836,126199,47937,23939,66578,6851,20339,200604,129242
Week 65,51892,14403,98034,190607,278674,1386,46175,186110,1005997,46499,42063,183761,60625,37624,66444,20933,45472,22882,53991,31385,13998,8811,246859,183628
Week 66,112313,,65137,160034,78285,,89924,277633,940176,30714,62592,132514,35157,32419,75305,5644,30678,6866,61811,47184,28823,38068,104188,119488
Week 67,12001,150,175711,444753,113693,,89661,405540,1021090,48752,17348,363630,625971,43635,121189,2531,32076,107688,33461,89975,4567,8599,266414,137812
Week 68,31546,55909,222716,457991,493193,39027,72291,890997,1631828,158224,192441,353761,846717,76028,218440,31015,109935,113054,29677,89576,47310,25057,201380,303751
Week 69,47908,265,165404,498987,260738,30449,98888,375171,1869901,88260,13879,221639,591035,31781,170356,21282,42660,96450,215373,40444,2262,55474,27390,264100
Week 70,218568,99014,204392,309757,155213,,50415,469149,1189369,14066,34101,484902,203615,27533,26960,,61624,20715,16182,45436,77084,35229,243995,153631
Week 71,491697,132394,359281,987341,897437,33300,202088,1291790,3007734,49771,85980,518014,772200,43249,228991,277,202782,128495,116301,81035,50077,35681,266691,240338
Week 72,34,215,17336,91753,43804,,3157,101922,378483,3582,5136,28828,39103,3483,4697,2227,48713,32386,948,15830,7010,21136,39372,93801
Week 73,25297,2233,82569,123994,74678,,12884,187170,674193,6287,27859,131577,104735,24240,80446,17811,32456,27299,9845,16953,2474,23465,70098,75655
Week 74,25824,113,77719,53426,34914,4617,17826,273703,613823,42021,5036,32385,38417,28167,89366,7971,12456,3751,24,24957,29078,29380,50231,118225
Week 75,24448,7233,71098,159159,98234,,6685,821036,2045651,73150,40483,132238,88888,12853,218542,16447,125365,62651,211215,103366,2458,10980,81608,223275
Week 76,25363,1746,11801,57868,62561,,46958,45034,317417,12420,46349,51591,62129,61206,43556,2571,206,13665,12140,,,,7426,81598
Week 77,,,152733,174262,419275,81930,89566,161148,582287,17917,35250,240692,192088,17826,154311,2480,21438,83801,8837,48920,3358,35744,32234,61243
Week 78,157771,100215,246936,493644,288706,12011,59329,170697,355817,27018,137540,99430,123794,8603,79596,21984,12812,36576,22672,23160,25142,44108,96637,219429
Week 79,147709,88375,241901,962800,1072759,41071,336967,548652,1013539,22303,199079,613666,504122,160929,124856,1517,67207,22952,189739,23981,182124,8295,199121,205824
Week 80,80638,233113,150696,791104,1187056,184386,100818,1111185,1517660,162247,75226,683615,600307,21587,355244,20451,186010,9526,82675,98255,12715,51610,175825,237574
Week 81,50957,10323,9141,97150,217627,27410,40883,48360,360632,21680,34809,36610,31116,20196,65497,2557,66426,18167,3060,19727,7887,19587,156033,-16898
Week 82,34267,26255,116644,110418,298697,,51642,251761,388782,63100,75220,36610,111858,82690,-15077,22466,31596,72601,57827,126230,21220,4780,143545,61814
Week 83,-935,75432,77955,144410,216537,14250,45433,245759,915707,86209,36445,15895,63257,28533,103353,21755,173756,102284,38723,30011,55223,103230,241865,181413
Week 84,144607,63242,311694,347498,267361,33770,54978,400273,1758591,129236,41504,170824,144047,82910,186231,13380,103099,188000,245125,61768,34753,61098,431263,180792
Week 85,26586,-17968,196647,299398,1285673,116137,94515,257522,517684,26854,110503,108140,707358,98351,171420,2505,105900,251559,20820,78688,35270,117906,110031,162537
Week 86,20438,66608,192729,461289,834432,71219,65614,258926,1177292,103633,53741,517905,367183,244728,113772,7840,76180,201095,24655,99151,103596,24217,107517,201591
Week 87,101460,145503,564901,751724,1632115,99450,303590,442384,1163583,236704,152,558927,280896,74829,132056,19723,151610,141948,109454,81003,63893,52363,93038,319278
Week 88,333846,262078,210062,1019363,1324949,,173310,336155,1873683,97407,82643,900840,361538,67215,327878,19485,213588,329936,379913,122180,80809,55503,235908,353455
Week 89,635678,32839,564196,707927,675792,,349159,805991,2025430,108912,53495,900932,736993,8987,290691,31375,195618,86795,66831,100291,101043,25190,144693,177179
Week 90,26496,48321,130387,259751,277202,3009,140562,149837,544043,54496,115578,258482,128465,14443,97090,19141,21330,53265,18962,86129,41327,42873,78428,83284
Week 91,140407,1176,192177,358175,526125,54750,107658,327219,787538,79400,96326,382477,187791,73688,207744,25700,36265,173309,88372,58681,27727,11466,162203,163928
Week 92,38096,74096,663631,940091,926278,50935,325555,290752,1367877,85144,76486,477590,282791,125340,171544,50974,97665,48303,121827,98370,115771,56965,261172,229867
Week 93,475690,3648,327712,550962,1016366,153556,153931,482754,3359612,148637,112705,520167,1021292,103820,243389,19923,99079,131789,32644,101246,213739,74567,112544,258832
Week 94,-12596,25818,190687,303959,464322,18593,116805,359937,810082,92173,40974,375831,379577,61943,196824,29658,37459,178438,3156,19186,26648,44112,69622,269636
Week 95,74037,158173,155282,668930,611341,157805,254971,251057,359356,122032,54245,137818,170937,112652,179235,17638,110234,46368,143014,61973,8926,58561,93402,119042
Week 96,7654,297779,261045,324287,772471,,104503,285572,825486,123454,46493,271885,219401,68134,142621,2480,46297,217185,16761,57652,81682,7391,59490,89923
Week 97,1020321,153073,951677,1978650,2072039,204064,296281,729418,3832221,215328,111619,930201,923928,134941,384792,13001,384562,206395,226821,161533,165511,79162,414099,498929
Week 98,9032,76208,158286,109950,225801,2976,91250,31949,164842,34785,162732,151779,144396,51731,63859,25352,18057,19212,13582,-3025,8432,30009,113686,94764
Week 99,50953,460841,66501,401048,171579,4804,82383,124495,723825,55841,16419,90510,61622,15802,44723,16010,2686,25074,111631,79419,11946,7495,65985,32794
Week 100,14216,20658,419051,55147,368795,28823,64214,608172,753811,24784,99652,223808,127312,77345,147602,10760,49321,27488,36370,81784,,66720,268051,144412
Week 101,139028,113982,176249,631272,1325871,128373,143872,383822,1221961,80824,12094,215957,258904,42722,298042,20770,6502,47905,95300,75584,52191,168,23419,223613
Week 102,-144249,9804,166893,353062,229311,,17702,555556,676785,19036,5694,147559,113349,17175,82971,30392,96408,49599,5030,57601,81000,61019,100379,98858
Week 103,16309,6199,74015,3901,222848,3067,9441,131288,394454,27906,43518,101475,114861,32613,162534,78671,45024,82738,25395,31085,39105,25857,107054,80120
Week 104,47376,62443,190645,410460,557116,25398,105351,174981,698064,102441,83185,322050,73040,100907,118633,15393,143556,68187,136135,63245,9840,27450,104251,94848
Week 105,113812,19462,62661,236453,568355,25954,27282,301087,1302963,68262,80762,110451,349592,117904,281817,30925,130399,214416,1711,65382,7149,31172,126853,75623
Week 106,,327,33847,83286,7354,,382,42710,446637,11084,26243,21656,-1397,4394,43314,14708,15979,2544,43980,44590,150922,-49,1999,45714
Week 107,23557,46575,153634,140169,377091,106078,0,29702,334594,37874,51266,227775,61425,5712,-1595,,2566,4666,9171,3427,2396,22353,165272,161022
Week 108,219351,116874,275597,324993,397861,24953,104586,280625,1375720,120575,144881,420348,249574,97667,154631,73277,86150,163146,181446,70625,23097,87203,234087,258208
Week 109,136889,243532,246723,118174,524251,650,199236,305447,639051,156655,75344,87175,158659,55287,78681,46344,57274,46948,48720,69421,16517,63360,180600,261473
Week 110,78930,103641,183410,317197,603679,12011,112557,171663,1146273,90234,48236,350470,649714,85153,149702,5724,78809,95821,103321,20822,61111,36750,166481,304995
Week 111,145604,305253,308092,291740,923232,3856,503189,608436,2019271,38474,94037,399547,610633,147890,373435,59632,157118,145311,159416,110757,62080,62396,395459,367763
Week 112,23375,56547,106564,206872,293449,42428,,135170,187575,61751,35632,71463,71196,24815,101680,8480,8449,108697,173752,12227,13625,36760,88892,184394
Week 113,53483,135534,190456,441866,1088079,96056,96145,245917,777814,151244,133865,450314,325142,152041,99543,6149,64606,161752,141696,49248,50194,64657,41841,284966
Week 114,203096,200554,262172,473122,1076805,56935,140161,411010,947699,68333,86866,162784,454806,97234,202861,18449,61405,58527,140097,67870,120828,33114,33218,308732
Week 115,193942,342353,120737,488094,871925,,105216,364057,786205,110808,36289,618768,457839,108991,187131,37857,96714,50763,144824,46124,36811,35742,615570,299291
Week 116,142773,72600,148771,135194,733366,18920,138941,522190,1401398,95935,33130,22699,177427,66446,66922,30094,157893,67398,55583,119338,49961,31520,269255,270051
Week 117,70258,49164,79221,175399,366833,33623,87497,281992,448881,62601,41043,76182,179131,24452,57310,-1376,78786,35109,130495,16333,25823,17814,108542,179599
Week 118,84536,69306,110805,114137,294876,,72900,378190,1014336,83931,32318,204156,92854,63658,164122,21005,37436,44973,156749,85239,11942,44677,37947,155836
Week 119,-2907,408035,63368,123162,226650,,73310,332034,611437,44418,47558,157627,148999,47380,72618,26363,-3420,42273,66464,60721,10167,2583,78396,108357
Week 120,27328,319387,38261,144363,332747,85707,214254,87703,925815,27171,129824,338700,134111,29200,90241,18725,26304,18745,55251,61773,61278,35440,164741,154292
Week 121,54684,55359,137882,460740,349499,7234,100201,257769,1262294,125627,106610,451317,226561,114422,141453,33869,57163,41746,132463,26584,14349,21780,66449,368494
Week 122,12189,25268,140111,291458,364118,,15647,949423,545456,106517,101862,205602,299310,72371,128702,15830,52000,77393,73542,42970,16248,42747,124635,234585
Week 123,19022,116952,-9694,232343,529744,,99435,272426,2913860,55857,63094,279399,383278,87475,81665,6032,13025,125373,124711,32025,33945,14941,25008,196857
Week 124,391871,664308,380671,303050,1216167,12095,13777,1441667,2394025,110354,56637,375539,505021,101869,212991,21637,122031,71941,76984,131644,33377,17711,129035,374561
Week 125,2396,16472,97275,119541,135895,9917,6274,-14185,517991,50110,31752,14286,70294,47644,96381,8193,50764,87928,1960,21803,84454,2882,122066,127592
Week 126,10340,69187,60792,91094,147273,7245,26867,308835,563338,75846,62697,45891,59568,26621,89484,27153,19991,34283,57454,24242,26080,9188,79082,166075
Week 127,14491,213450,89905,199304,539906,,30549,286590,927366,32284,52727,93215,123742,79572,10934,9824,5272,33818,20948,19385,9121,15798,89933,107334
Week 128,56407,339720,-40049,18044,168008,,28857,238499,703495,82229,67977,46510,100073,109991,106360,44901,145180,147090,121527,58921,23888,40323,77158,146311
Week 129,35281,183291,141891,151771,185658,29578,106404,591266,1147960,31422,99033,112083,180974,77576,224196,9725,88695,83992,73897,85331,102233,27338,139205,323484
Week 130,46923,78690,85229,195685,140010,2467,54009,248274,585783,63692,11129,45715,155886,72423,91169,19007,10852,81227,29492,30158,82526,13910,152475,208898
Week 131,111672,74438,67243,448259,453154,8377,81817,254220,726934,71833,30589,79597,367950,96253,34962,14029,34223,68810,105707,44566,74159,32668,131323,210959
Week 132,20277,224824,162435,222006,623429,8463,55003,656506,1029797,181695,85415,91281,193407,91176,122070,8568,67780,144107,220276,75702,70747,24151,84749,223834
Week 133,127724,198342,265580,136028,894399,3597,136362,1177282,2209230,53717,91100,146748,367724,95321,199921,26593,83144,39844,220357,149873,164343,62029,251937,312752
Week 134,9949,10013,30187,62566,154655,16528,34026,3546,91513,38519,5101,10029,12708,74411,89194,19655,42810,82244,36844,16916,47151,18130,51655,145972
Week 135,1328,61251,48963,224983,146397,,27931,77157,22810,138045,46508,47596,168168,45406,142996,5316,48051,87333,101305,42588,118037,25335,70474,165474
Week 136,154787,8980,78737,277344,403027,14355,56451,296730,191246,130311,64936,170632,70150,68397,160441,26266,56444,164241,109151,22317,117813,31452,217137,215968
Week 137,53926,209900,133819,259351,723992,3220,170529,790556,853833,51185,103520,96694,436527,123533,122747,20270,84184,284246,320002,73398,211275,30667,381627,337371
Week 138,21718,80700,35317,296149,579882,23273,98847,87947,344973,65994,91562,113443,154458,87885,161769,31140,9130,229744,122418,52689,126114,63244,108218,210993
Week 139,24274,51000,74183,439672,763538,37791,298978,283599,376880,72628,71560,165966,498758,174475,96105,21075,59664,357973,225210,39143,232827,20252,163812,230223
Week 140,41427,4976,47612,434359,676535,34497,111454,374249,523674,77794,153051,180406,417559,76271,226566,39804,43465,113254,64475,96858,180942,82262,229517,145425
Week 141,196398,217034,236368,300738,575850,14619,133051,379685,221282,110177,69472,98969,313051,241057,164758,19673,173762,248658,322456,99025,318048,39884,251111,486741
Week 142,43617,559342,242119,203896,523688,79211,353575,697928,641469,76924,65834,370360,307070,139381,117995,2791,201861,208843,379090,58453,231103,31425,261042,185719
Week 143,105758,28576,177779,298261,310548,25737,23566,169611,1141157,91198,44087,69473,398251,75235,182224,27990,8628,74208,148221,87867,116298,24391,109573,200675
Week 144,26484,188060,75601,325258,760860,5031,37216,493685,453490,78303,84236,162628,379722,76605,106178,41310,51260,105317,117673,66641,180412,47557,133509,242491
Week 145,63500,187404,147259,406667,985201,43008,143465,535437,1012193,189095,178419,190992,621583,127681,276097,31031,82045,160252,117786,175336,212890,100302,221283,342177
Week 146,92196,648888,151099,301920,240945,31645,77118,1138524,2529273,142466,9956,160068,601181,184643,132166,47693,55123,83373,115007,280799,291692,85712,439363,299872
Week 147,14115,24549,323129,460491,567647,10312,54733,146797,518230,165704,111956,91913,431743,142865,173946,13771,62772,220198,126653,49084,161256,39334,150302,230535
Week 148,7202,123062,128147,485833,909754,79516,177208,552599,984817,56792,170076,239809,510426,141517,135398,35430,94695,52954,78589,76894,282361,13942,65119,388223
Week 149,76369,232875,300781,606901,605485,4039,108712,499293,1526377,131383,72872,91277,466593,147689,178753,61460,152380,174314,635705,165844,204050,50261,147824,307503
Week 150,31547,399544,138639,518343,270433,,216341,477645,803064,98669,82990,190497,700622,92632,121078,64373,27664,314748,250175,179797,363626,41994,137244,208771
Week 151,55563,98699,96617,196292,334123,,69865,511353,806226,57033,59495,47315,280325,48733,30445,13736,30559,42461,66661,55602,67167,13652,100439,199434
Week 152,,37452,-6647,50035,328777,34255,48197,176614,1131357,7315,65102,122474,232713,44229,215415,33932,76578,183509,120095,90890,148972,29140,196771,105573
Week 153,20258,54332,62860,121142,242932,4765,-612,257302,2057507,124744,35252,46234,137276,39886,143506,36997,14538,64009,70713,-4685,127474,15516,137865,290868
Week 154,58202,92938,101442,171449,202130,2445,104705,563742,1676282,53926,88963,144543,253960,40622,212115,8706,32799,228776,160474,62616,116618,113500,126094,466681
Week 155,121325,73312,120639,118019,116950,7006,50572,671902,1085669,104231,136655,53756,223646,72461,249175,,52339,156334,40345,77423,88509,65668,193077,156580
Week 156,36753,44793,27310,185952,387539,,135212,532136,1563106,59943,123927,65323,324115,112191,178728,23269,62715,139315,295210,72509,207616,47601,166976,308352
Week 157,247139,248186,122245,241058,455657,6681,90327,520677,677456,62950,50081,113842,268166,126534,191717,53816,31880,298718,153337,87599,204593,37784,152205,150924
Week 158,7273,-549,38240,179660,683235,,67375,236226,292065,78081,83527,113226,192350,81994,122184,25856,42020,116489,128870,113976,128178,64363,322380,69111
Week 159,24092,96778,-16407,94693,197018,8582,122479,334111,528758,69013,66602,49869,171334,81415,78441,14946,48917,57665,55647,87121,122751,51089,86844,26472
